"filename", "language", "CSS", "JSON", "JavaScript", "TypeScript", "TypeScript React", "XML", "Markdown", "HTML", "comment", "blank", "total"
"e:\Dev\React\sidiro\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Dev\React\sidiro\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\Dev\React\sidiro\src\reducers\Backdrop.reducer.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"e:\Dev\React\sidiro\src\reducers\DeviceDataDialog.reducer.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 1, 5, 54
"e:\Dev\React\sidiro\src\reducers\DeviceDataDialogElevationDataSource.reducer.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"e:\Dev\React\sidiro\src\reducers\Elevation.reducer.ts", "TypeScript", 0, 0, 0, 777, 0, 0, 0, 0, 1, 5, 783
"e:\Dev\React\sidiro\src\reducers\Events.reducer.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"e:\Dev\React\sidiro\src\reducers\LanguageDialog.reducer.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"e:\Dev\React\sidiro\src\reducers\Overview.reducer.ts", "TypeScript", 0, 0, 0, 455, 0, 0, 0, 0, 3, 5, 463
"e:\Dev\React\sidiro\src\reducers\Reports.reducer.ts", "TypeScript", 0, 0, 0, 269, 0, 0, 0, 0, 0, 6, 275
"e:\Dev\React\sidiro\src\reducers\Reports\CommonReports.reducer.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"e:\Dev\React\sidiro\src\reducers\Reports\PowerDemandTab.reducer.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 1, 7, 46
"e:\Dev\React\sidiro\src\reducers\Root.reducer.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"e:\Dev\React\sidiro\src\reducers\SystemTopologyData.reducer.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 7, 93
"e:\Dev\React\sidiro\src\reducers\UniversalTabs.reducer.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 1, 3, 23
"e:\Dev\React\sidiro\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"e:\Dev\React\sidiro\src\routes\Drawer.routes.tsx", "TypeScript React", 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"e:\Dev\React\sidiro\src\services\FetchEventsAPI.service.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\Dev\React\sidiro\src\services\FetchTimeseriesAPI.service.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"e:\Dev\React\sidiro\src\services\FetchTimeseriesAggregatesAPI.service.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"e:\Dev\React\sidiro\src\setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"e:\Dev\React\sidiro\src\translations.ts", "TypeScript", 0, 0, 0, 280, 0, 0, 0, 0, 4, 1, 285
"e:\Dev\React\sidiro\src\utilities\DecodeState.utility.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"e:\Dev\React\sidiro\src\utilities\DeviceTypes.utility.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"e:\Dev\React\sidiro\src\utilities\ExportPDF.utility.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"e:\Dev\React\sidiro\src\utilities\GetUTCDate.utility.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"e:\Dev\React\sidiro\src\utilities\PowerFactorCalculator.utility.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"e:\Dev\React\sidiro\src\utilities\SiemensColors.utility.ts", "TypeScript", 0, 0, 0, 138, 0, 0, 0, 0, 0, 7, 145
"e:\Dev\React\sidiro\src\workers\TimeseriesData.worker.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 3, 4, 30
"e:\Dev\React\sidiro\tsconfig.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"Total", "-", 0, 116, 23, 2617, 6156, 86, 26, 21, 133, 435, 9613
